platform,subject,total,interactions,age,gender-categorical,gender-free-response,ethnicity,race,education
mturk,8npip6bkhytavwzz40v9xr3n,19.75,1,27,Male,,Not Hispanic or Latino,['Black or African American'],High school
mturk,8r3zvypk0bnvql2q8ow7kcb0,24.4,85,29,Male,,Not Hispanic or Latino,['Asian'],Bachelor degree
mturk,932nd2fkjzq8o1uvi0s0r6vw,17.98,1,58,Female,,Not Hispanic or Latino,['White'],Bachelor degree
mturk,9kppcbxt5yd74k68o9ojna5l,21.3,1,41,Male,,Not Hispanic or Latino,['White'],Master degree or higher
mturk,9lj76u5t16q8p5em57ghbd3m,15.24,1,28,Male,,Hispanic or Latino,['American Indian/Alaska Native'],Bachelor degree
mturk,9pvy5dx33eiw5s376mkqah3w,31.71,6,40,Male,,Not Hispanic or Latino,['White'],High school
mturk,9sofaz55jn70p37kkyrwfs7h,18.74,1,48,Female,,Not Hispanic or Latino,['White'],Bachelor degree
mturk,9triih2u2jyp9z4it4nztit8,16.08,2,42,Female,,Not Hispanic or Latino,['Black or African American'],High school
mturk,9u9iluu4er47b16ydcetlrri,21.88,1,27,Male,,Hispanic or Latino,['White'],Associate degree
mturk,9xmesfr8fle9kunau40wmoev,18.57,3,46,Male,,Not Hispanic or Latino,['White'],Bachelor degree
mturk,a0v3jzo92of3zjvwoeo6vmpg,19.56,1,55,Male,,Not Hispanic or Latino,['White'],Master degree or higher
mturk,a67jyfn6po846n718npgj607,35.29,1,66,Male,,Not Hispanic or Latino,['Asian'],Some college
mturk,aolor455qvlnq3vmcb974ps5,16.16,3,45,Male,,Not Hispanic or Latino,['Black or African American'],Master degree or higher
mturk,avfujzgtegxt24dd8f2chcnc,15.23,1,40,Female,,Not Hispanic or Latino,['White'],High school
mturk,aws11s2jo537qnscvnb30a3v,14.13,1,28,Male,,Not Hispanic or Latino,['Asian'],Bachelor degree
mturk,ax7h5iawpe2fevn24tagkpkc,27.55,2,53,Male,,Not Hispanic or Latino,['White'],Bachelor degree
mturk,b4i8xjo1y67ver8ih3m9d06n,19.54,3,30,Female,,Not Hispanic or Latino,['White'],Bachelor degree
mturk,beqcc6ncidwpngxy9blbmwwg,26.39,3,37,Male,,Not Hispanic or Latino,['White'],High school
mturk,bk21s6rw0enc8kqvq5g55f1d,24.25,10,41,Male,,Not Hispanic or Latino,['White'],Master degree or higher
mturk,c7x9th55z7scxc7v94r3frmq,16.97,1,44,Male,,Not Hispanic or Latino,['White'],Bachelor degree
mturk,cfs7l0pcmq8ocktzfwwr5s1k,15.48,1,31,Female,,Not Hispanic or Latino,['White'],Some college
mturk,cgnuq1quygnikvf0tmld80gx,32.72,10,58,Female,,Not Hispanic or Latino,['White'],High school
mturk,cjlkgbnhyrvwabk5u104j2ni,19.38,3,41,Female,,Not Hispanic or Latino,['White'],Some college
mturk,cjy6pckoe7elutfjvjspz899,28.57,1,31,Male,,Not Hispanic or Latino,['Black or African American'],Associate degree
mturk,cl0hfgf11jot3ikjnsruivcz,19.17,1,46,Female,,Not Hispanic or Latino,['White'],Bachelor degree
mturk,cszj0l6uqdkurp4dmbcw8fwi,16.96,17,25,Female,,Not Hispanic or Latino,['Asian'],High school
mturk,cv17bxobn4cdhrgotg3ap1aw,18.99,1,39,Male,,Not Hispanic or Latino,['White'],Bachelor degree
mturk,dj19ieorj50cs6dperszsw5j,17.74,3,29,Male,,Not Hispanic or Latino,['White'],Bachelor degree
mturk,djqa2e4nnihalyvpo44hkx1x,13.52,19,45,Male,,Hispanic or Latino,['White'],Master degree or higher
mturk,dqs9bnj9w6begliewhe7ycbo,29.48,1,41,Male,,Hispanic or Latino,"['American Indian/Alaska Native', 'Black or African American']",Bachelor degree
mturk,e27j7r2ly0oyl984w1n0h2qm,16.0,1,35,Male,,Not Hispanic or Latino,['White'],Master degree or higher
mturk,e5iqml6t63g9mfk6fylwc197,14.6,1,29,Male,,Not Hispanic or Latino,['White'],Bachelor degree
mturk,e6dhkkt1f8gqesyuukd1s1eh,16.21,5,37,Male,,Not Hispanic or Latino,['White'],Associate degree
mturk,e9mzms2s82oslgused1r3nfa,16.8,9,35,Male,,Not Hispanic or Latino,['White'],High school
mturk,eevmr1z0nsh9s96lrde59vwl,20.06,1,60,Male,,Not Hispanic or Latino,['White'],Some college
mturk,ekfpn5l2bq0acuu4f2zsvhet,21.01,3,54,Female,,Not Hispanic or Latino,['White'],Master degree or higher
mturk,ekjg1id0x7wh1yvwe416n01q,15.4,1,26,Male,,Not Hispanic or Latino,['Asian'],Some college
mturk,el0f400yacyhv9z0xzt7e6n1,22.47,1,53,Female,,Not Hispanic or Latino,['White'],Bachelor degree
mturk,eu49k2titg3ouvminvav85yw,13.9,1,30,Female,,Not Hispanic or Latino,['White'],Bachelor degree
mturk,ey5cecw68am9sy0qrkkek7x2,17.23,1,49,Female,,Not Hispanic or Latino,['White'],Bachelor degree
mturk,fgser2b9vvxod0kw5ncpilot,19.0,1,31,Female,,Not Hispanic or Latino,['White'],High school
mturk,fi1u5q9mpyqdjo4pc8ve5mvf,19.71,1,67,Female,,Not Hispanic or Latino,['White'],Some college
mturk,fq2mzf40dbqifxmxr4k6rk47,13.85,1,32,Female,,Not Hispanic or Latino,['White'],Master degree or higher
mturk,fsjmf8n5zoxe4a17sp7mmxrk,17.12,7,42,Male,,Not Hispanic or Latino,['White'],Bachelor degree
mturk,g3lotbcyh8zvp5g6sv7zxzuo,13.05,9,38,Male,,Not Hispanic or Latino,['White'],High school
mturk,g7tccd48q9wztjq1icrbs6q3,23.18,14,54,Female,,Not Hispanic or Latino,['White'],Master degree or higher
mturk,gmppood7kh931y4urv5uhs4a,22.45,36,45,Male,,Not Hispanic or Latino,['Asian'],Master degree or higher
mturk,gng7advsw2f4bapv99vf84fv,20.48,13,31,Male,,Hispanic or Latino,['White'],High school
mturk,gt3hw6qzsddqr0ffd59cf2h9,17.85,3,60,Male,,Not Hispanic or Latino,['White'],Bachelor degree
mturk,h85dvmp66vn28dgqtc1h0yqc,20.39,1,59,Female,,Not Hispanic or Latino,['White'],High school
mturk,hadvq5vn2e842sz1vu2838pm,20.62,2,55,Female,,Not Hispanic or Latino,['White'],Associate degree
mturk,hmtggd56y81ersiwgaza43by,20.85,3,60,Male,,Not Hispanic or Latino,['White'],Bachelor degree
mturk,hok36g102ajchq0t4ctvx0fq,13.8,1,31,Male,,Not Hispanic or Latino,['White'],Master degree or higher
mturk,hr6d8gtv9frx07siue74c7pf,15.8,15,36,Female,,Hispanic or Latino,['White'],Some college
mturk,hs7raazp656j1ys4vn6vhlph,21.6,3,37,Female,,Not Hispanic or Latino,['White'],Bachelor degree
mturk,hspal5dcif68mi90u1bo7uws,21.15,1,30,Male,,Not Hispanic or Latino,['White'],Bachelor degree
mturk,hv5q4nzk8wnd491016jv34bo,25.36,10,43,Female,,Not Hispanic or Latino,['White'],Master degree or higher
mturk,hxxwqmgogfhqelvp77f2vrbx,18.31,8,49,Male,,Hispanic or Latino,['White'],Master degree or higher
mturk,hycx9fud51hzfbxcayw3zmzl,19.08,1,30,Male,,Not Hispanic or Latino,['White'],High school
mturk,i0crny7klhunecn88vy2z09l,25.9,1,50,Female,,Not Hispanic or Latino,['White'],Some college
mturk,idte7e818070rgy2utv7pppj,31.72,3,56,Male,,Not Hispanic or Latino,['White'],Some college
mturk,iv3nzmpjvba3e12dnuya367k,15.33,1,24,Female,,Not Hispanic or Latino,['White'],Bachelor degree
mturk,iys46f7rt7z6glrmrahxdyas,18.73,1,62,Male,,Not Hispanic or Latino,['White'],Some college
mturk,jedoaoppvjj4t7omjjq720hv,19.72,1,43,Female,,Not Hispanic or Latino,['White'],Associate degree
mturk,jq65i8e6znkoeil021tahcsp,20.13,1,53,Female,,Not Hispanic or Latino,['White'],Associate degree
mturk,jyn4votldgut5en8z83abynv,16.1,1,28,Female,,Not Hispanic or Latino,['White'],Associate degree
mturk,k6xlxosw3cpsrchxw360cd35,16.39,7,34,Male,,Not Hispanic or Latino,['White'],Associate degree
mturk,ka459iov6b5pkn2djfknwgvt,18.81,3,54,Male,,Not Hispanic or Latino,['White'],Bachelor degree
mturk,kdgjhgo39w74uyym8xh7228c,16.26,5,31,Other,non-binary,Not Hispanic or Latino,['White'],Bachelor degree
mturk,kmn6csp86o6rvy011opg0p5u,19.9,18,34,Male,,Not Hispanic or Latino,['White'],Bachelor degree
mturk,krt1skqswbuufb91e1cxcvnu,16.43,1,32,Male,,Not Hispanic or Latino,['White'],High school
mturk,l16q2lm3ricf6y0ppmj7cvzd,19.14,5,31,Female,,Not Hispanic or Latino,['White'],High school
mturk,ldrunpc8u0c11240hgpym0sc,19.27,1,42,Male,,Not Hispanic or Latino,['White'],Some college
mturk,lq8i1tqvsisw6bu65eumu8rj,22.42,1,55,Male,,Not Hispanic or Latino,['White'],Associate degree
mturk,ly2advi3b39qizqlplzj0ol3,16.89,2,45,Female,,Not Hispanic or Latino,['White'],Bachelor degree
mturk,m4izvla3yainx7q8g5evlr84,16.33,17,45,Male,,Hispanic or Latino,['Black or African American'],Master degree or higher
mturk,m4w706l0jiclptjwg4t27s33,23.56,8,30,Female,,Not Hispanic or Latino,['White'],Bachelor degree
mturk,m8nrpifkfb1hgsc7yvwcav4o,20.86,9,39,Female,,Not Hispanic or Latino,['Asian'],Associate degree
mturk,mbk82a0qyyx2fnl3tyhjt5q3,18.0,8,63,Female,,Not Hispanic or Latino,['Black or African American'],Master degree or higher
mturk,mhddriyp5i3xuoyzhskt00sf,32.65,17,25,Male,,Not Hispanic or Latino,['White'],Bachelor degree
mturk,n9q8lzf5y3kpcnfqrxrv606t,19.34,1,44,Male,,Not Hispanic or Latino,['White'],Some college
mturk,nzte1hdqjfe4s7rhpy93790g,22.99,1,60,Female,,Not Hispanic or Latino,['White'],Associate degree
mturk,o6xkqlzz9vwgevbjavrc52by,19.58,1,37,Female,,Not Hispanic or Latino,['White'],Bachelor degree
mturk,ok7ssgk65sj9ug52zqkh8k8v,25.39,5,45,Female,,Not Hispanic or Latino,['White'],Associate degree
mturk,ol9937wlvzp8prpx0wk1p8tq,19.35,57,40,Male,,Not Hispanic or Latino,"['Asian', 'White']",Associate degree
mturk,ozyppqm0fv26le3u1wm2b98c,15.41,1,26,Male,,Not Hispanic or Latino,['White'],High school
mturk,p69jax425u60h4xu1ogkhhsa,26.7,1,31,Female,,Not Hispanic or Latino,['White'],Bachelor degree
mturk,ph3855evmowhomqadzox10cy,19.93,3,35,Male,,Not Hispanic or Latino,['White'],High school
mturk,pl0k36pwbdtt78v7rlbg6mdr,16.16,1,27,Male,,Not Hispanic or Latino,['Asian'],Bachelor degree
mturk,pv6p318w830y07rh34pjdob1,20.89,3,57,Male,,Not Hispanic or Latino,['White'],High school
mturk,px7od962abk1ftbc20jt3i31,20.45,1,42,Male,,Not Hispanic or Latino,['White'],High school
mturk,pyr8oazt0z1pz9t54cpw65n7,22.81,5,39,Male,,Not Hispanic or Latino,['Black or African American'],High school
mturk,q98bic9tt7za4whhocwhq83e,17.17,12,47,Male,,Not Hispanic or Latino,"['Black or African American', 'White']",Some college
mturk,qo3vc2thdfzuqkfb40u7apxm,17.94,1,38,Female,,Not Hispanic or Latino,['White'],Master degree or higher
mturk,r2i712b89sbu75u0hp1vc862,17.33,1,27,Male,,Not Hispanic or Latino,['White'],High school
mturk,riofg9i665rl1ffxw3m3jtfi,20.11,24,29,Male,,Not Hispanic or Latino,['White'],Bachelor degree
mturk,rjyb49jlxlcbklw10q95uvep,21.79,1,40,Male,,Not Hispanic or Latino,['White'],Some college
mturk,rx84yok45y1omwx7fvicofu1,13.87,1,25,Male,,Not Hispanic or Latino,['White'],Bachelor degree
mturk,s3ns2a3lbtmdlqhp5i5mszbd,18.33,2,46,Male,,Not Hispanic or Latino,['White'],Bachelor degree
mturk,s8y5jxk3i3a752gch98w784a,19.85,1,37,Female,,Not Hispanic or Latino,['Asian'],Bachelor degree
mturk,sxib4w1g547xzlvrznq9mq0s,21.87,1,67,Male,,Not Hispanic or Latino,['White'],Associate degree
mturk,szzxsw3dy0v40brx2d6u95n3,15.06,1,35,Male,,Not Hispanic or Latino,['Black or African American'],High school
mturk,t4tu4604sv8emh77bpdoyc8h,19.24,1,29,Male,,Not Hispanic or Latino,['White'],High school
mturk,t7wl9gcdkxx0y9me8x3g1a59,31.88,7,30,Male,,Hispanic or Latino,['American Indian/Alaska Native'],Bachelor degree
mturk,tb2dzodh7vcjtb6jppie8uop,20.8,5,40,Female,,Not Hispanic or Latino,['White'],High school
mturk,tkr5namy0iqoy12rqd5qoi64,21.3,1,48,Female,,Not Hispanic or Latino,['White'],Bachelor degree
mturk,trg387gjrlqo54kfduw6qav1,17.08,11,23,Male,,Not Hispanic or Latino,['White'],Some college
mturk,u2c8ssd2b5bj2waollwfvlqn,17.65,7,34,Male,,Not Hispanic or Latino,['Black or African American'],Some college
mturk,u380t8v6c74f5jsu4d7ckf7h,21.41,1,41,Male,,Not Hispanic or Latino,['White'],High school
mturk,uh6y73yws6zzz80ituv0hpd6,29.19,6,30,Male,,Not Hispanic or Latino,['Black or African American'],Associate degree
mturk,uvc7akya9ypsier79utz7oc3,15.32,1,25,Female,,Not Hispanic or Latino,['White'],Bachelor degree
mturk,uvuwv50ezg0vnxfav8kg79ti,20.83,6,50,Male,,Not Hispanic or Latino,['White'],Some college
mturk,v0cct39zcjo2zthf0p2r8q9j,16.93,1,31,Male,,Not Hispanic or Latino,['White'],Some college
mturk,vdav0as1scpk1f20f213qefm,20.97,1,37,Male,,Hispanic or Latino,['White'],Bachelor degree
mturk,vf6p01u2sn471bn2tfm4ylfu,17.06,1,47,Female,,Not Hispanic or Latino,['White'],Bachelor degree
mturk,vkkgktpifprvj5yvbuxmvrmf,20.51,1,40,Female,,Hispanic or Latino,['White'],Some college
mturk,vwkj7lx71gc5h8nf5yvdlgxj,20.69,1,34,Female,,Not Hispanic or Latino,"['Asian', 'Black or African American']",Bachelor degree
mturk,vxjie5aknmd8pe3omzxi0gbg,17.49,6,28,Male,,Not Hispanic or Latino,['White'],Bachelor degree
mturk,w052ejxle7ws40loa18nen5x,39.51,9,37,Male,,Not Hispanic or Latino,['White'],Bachelor degree
mturk,w6fx5qz7ptvc0pya61avt2nh,15.29,1,30,Male,,Not Hispanic or Latino,['White'],Bachelor degree
mturk,wmhcq79h36dhbf3ie2u4wkzk,20.66,3,56,Female,,Not Hispanic or Latino,['White'],Master degree or higher
mturk,wv307r9ac17iwjzgew9og8y4,16.05,8,40,Male,,Not Hispanic or Latino,['White'],Bachelor degree
mturk,x7luekogz3hpc421mfo6on53,15.12,1,28,Male,,Not Hispanic or Latino,['White'],Some college
mturk,xfejvrt2pe1jhg0ucjolxr4r,17.4,3,42,Male,,Not Hispanic or Latino,['White'],Some college
mturk,xl5bv1uyximl3owh5n8a4qnj,19.81,32,32,Male,,Not Hispanic or Latino,['White'],Less than high school
mturk,xsmvlajz7beqr92708t897om,17.41,14,32,Male,,Hispanic or Latino,['White'],Bachelor degree
mturk,xwpwjoegm3bkkeaffo40xcti,20.82,3,25,Female,,Not Hispanic or Latino,['White'],High school
mturk,yedpfqj7ua7v9eirohchnfty,19.87,1,33,Male,,Not Hispanic or Latino,['White'],Bachelor degree
mturk,yfhqqn5t4v7uyi83torwvyq6,21.04,1,49,Male,,Not Hispanic or Latino,['White'],Bachelor degree
mturk,yfir8iagr24rsblt9h4fo23s,27.36,5,28,Male,,Not Hispanic or Latino,['White'],Bachelor degree
mturk,yifb1eq0bsewqtsro46ko76p,18.73,20,27,Female,,Not Hispanic or Latino,['White'],Some college
mturk,yp3o5puj2brso463dzctwb6p,19.18,3,25,Male,,Not Hispanic or Latino,['White'],High school
mturk,yr1uh1nb9o9za00rjjwh5sn2,25.83,1,40,Female,,Not Hispanic or Latino,['White'],Bachelor degree
mturk,yzg5l7m2j8pizq2v0hwaliwy,17.99,1,51,Male,,Not Hispanic or Latino,['White'],Bachelor degree
mturk,z3jtdacjbzbk8m1ckdr1sgjm,21.71,1,33,Male,,Not Hispanic or Latino,['White'],Master degree or higher
mturk,z5vnzn08wicf6zwa8c7rzv40,19.81,3,52,Male,,Not Hispanic or Latino,['White'],Bachelor degree
mturk,zi40wtdno8jztn61nkm80t29,24.61,1,63,Female,,Not Hispanic or Latino,['White'],Master degree or higher
prolific,0jb9bv4ctxbace6od3v796kv,35.28,1,24,Male,,Not Hispanic or Latino,['Black or African American'],Bachelor degree
prolific,0pe0sx3pdyimetbgtq8qjxue,24.6,2,,Female,,Not Hispanic or Latino,"['American Indian/Alaska Native', 'White']",Master degree or higher
prolific,0u3qokx6l6c33f49b06x28b3,26.7,1,33,Male,,Not Hispanic or Latino,['Black or African American'],Associate degree
prolific,12nt8v2ffq6dakyi6ogri658,23.11,1,65,Female,,Not Hispanic or Latino,['White'],Bachelor degree
prolific,1nbpphzyv4kltogxnjpe9gcf,22.56,1,42,Female,,Not Hispanic or Latino,['White'],Master degree or higher
prolific,1p6derdbvddvy27eqaqq0hbq,26.22,1,33,Female,,Not Hispanic or Latino,['White'],Bachelor degree
prolific,1tcfs07jvo1sz2rj3y0n84e0,18.63,1,34,Male,,Rather not say,['White'],Associate degree
prolific,1vn3t8qrfznvmoho2xs802b0,23.18,1,23,Female,,Not Hispanic or Latino,['White'],Bachelor degree
prolific,1zai1redh719oqydr4cs3vd6,19.96,1,47,Female,,Not Hispanic or Latino,['White'],Bachelor degree
prolific,257x1hb96j6qcfs2l0j5n4k6,20.42,1,48,Female,,Not Hispanic or Latino,['White'],Associate degree
prolific,2bjxrppeooocweyyujbn6qk7,19.01,2,24,Male,,Not Hispanic or Latino,['Asian'],Some college
prolific,2zqpou4phq2m0xbul916ewkh,20.59,2,33,Other,Genderqueer,Hispanic or Latino,"['American Indian/Alaska Native', 'Asian', 'Native Hawaiian or other Pacific Islander', 'Black or African American', 'White']",Bachelor degree
prolific,34ksw3omnc9vhydybc8smx7x,20.65,1,29,Female,,Not Hispanic or Latino,['Asian'],Bachelor degree
prolific,37c50lv6zuyruxvfazy2vldm,28.9,3,48,Female,,Not Hispanic or Latino,['Asian'],Bachelor degree
prolific,382wgsvnd8sti5d8hujd7249,63.9,3,40,Male,,Not Hispanic or Latino,['Asian'],Master degree or higher
prolific,384ladtgr63ztr04ga1k3xf8,22.78,2,20,Female,,Not Hispanic or Latino,['White'],Some college
prolific,3lw740p8o08tcxssvpyudafl,31.84,41,58,Female,,Not Hispanic or Latino,['White'],Some college
prolific,3x3kmuh4w798bjgbgiq5i1a1,17.8,1,34,Female,,Not Hispanic or Latino,['White'],Some college
prolific,43ruv514ombj94zvo2j77e9r,24.35,14,48,Male,,Not Hispanic or Latino,['White'],Some college
prolific,4p1timf30pp1dlf0nll0fwgx,24.65,1,20,Female,,Not Hispanic or Latino,['Asian'],High school
prolific,4u5rimez0dm5mpec64vu7xun,28.13,5,33,Male,,Not Hispanic or Latino,['Asian'],Bachelor degree
prolific,4vuls9jvdjikhbmmqfrlou2j,16.71,1,26,Female,,Not Hispanic or Latino,['White'],Bachelor degree
prolific,4wwt6jsgb9xp23tq5m1n36fm,19.76,3,37,Male,,Not Hispanic or Latino,['White'],High school
prolific,59qqyefbs8awpnidknymlf6a,16.92,2,34,Male,,Not Hispanic or Latino,['White'],Associate degree
prolific,5a131r8uxgoe2bm4yhrjte49,19.84,3,37,Female,,Not Hispanic or Latino,['White'],Bachelor degree
prolific,5d5olhwq2wimhfml0wy69g6s,17.85,1,23,Female,,Not Hispanic or Latino,['Asian'],Bachelor degree
prolific,5dq4wt9oxfzv68sxrag5e79t,26.08,5,36,Female,,Not Hispanic or Latino,['White'],High school
prolific,5j5mcgfy09at5fyb22zhi2d3,19.15,1,49,Female,,Not Hispanic or Latino,['White'],Master degree or higher
prolific,5jd6erp8x2eqounvjj98zdsf,37.3,2,55,Male,,Not Hispanic or Latino,['Asian'],Bachelor degree
prolific,5pxnm7sukoqgngsqnp0mv7i9,17.45,1,26,Female,,Not Hispanic or Latino,['White'],Bachelor degree
prolific,5z9v2ryycut8u8hwyjqgg73f,21.26,1,48,Female,,Not Hispanic or Latino,['White'],Bachelor degree
prolific,657973204m3henx8rmanaor0,18.12,1,31,Female,,Not Hispanic or Latino,"['Black or African American', 'White']",High school
